Projekt;Ticketnummer;Datum;Projektticket;Mitarbeiter;Gebucht (in PT);Fakturierbar (in PT);Firma;Abrechnungsstatus;Abrechenbar
Mondschein KG / Innovation;7253179;02.02.2024;Refactored code for better maintainability.;Julia Weber;0.03706;0.0348;Mondschein KG;abgerechnet;00:21
Lichtblick AG / Renewable Energy;4607402;14.02.2024;Automated deployment processes for CI/CD pipeline.;Niklas Hahn;0.03322;0.0251;Lichtblick AG;abgerechnet;00:24
Feuersturm GmbH / Equipment Design;4180656;19.02.2024;Improved security protocols to protect data.;Jan Kohler;0.768;0.93402;Feuersturm GmbH;abgerechnet;06:44
Wasserfall AG / Water Conservation;5611094;12.02.2024;Implemented caching mechanism for efficiency.;Paul Bauer;0.05605;0.05204;Wasserfall AG;abgerechnet;00:25
Nordlicht KG / Arctic Exploration;6139413;01.02.2024;Redesigned landing page for better conversion rates.;Olivia Berg;0.05898;0.05477;Nordlicht KG;abgerechnet;00:30
Kleeblatt AG / Crop Management;5552534;06.02.2024;Enhanced mobile responsiveness of the website.;Emma Hoffmann;0.03358;0.0267;Kleeblatt AG;abgerechnet;00:08
Sturm & Partner / Risk Management;4125458;12.02.2024;Added localization support for multiple languages.;Emma Hoffmann;0.4366;0.43081;Sturm & Partner;abgerechnet;03:18
Drachenfels GmbH / Virtual Reality;6719561;15.02.2024;Updated UI for a more modern look.;Mia Koch;0.0263;0.03142;Drachenfels GmbH;abgerechnet;00:30
Glücksklee GmbH / Pharmaceutical Development;7578282;13.02.2024;Optimized database queries for faster load times.;Simon Seidel;0.14363;0;Glücksklee GmbH;abgerechnet;00:11
Kieselstein GmbH / Architectural Design;2359059;29.02.2024;Added a new feature to improve user experience.;Lisa Schulz;0.03695;0.07362;Kieselstein GmbH;abgerechnet;00:15
Sandsturm AG / Water Scarcity;5751301;08.02.2024;Resolved bug in the payment module.;Lea Schneider;0.27042;0.74783;Sandsturm AG;abgerechnet;04:35
Silberfuchs GmbH / Technology R&D;3884635;05.02.2024;Fixed compatibility issues with legacy systems.;Simon Seidel;0.02572;0.02919;Silberfuchs GmbH;abgerechnet;00:39
Silberfuchs GmbH / AI Implementation;8195484;22.02.2024;Implemented caching mechanism for efficiency.;David Meier;0.0304;0.03337;Silberfuchs GmbH;abgerechnet;00:14
Drachenfels GmbH / Fantasy Game Development;5617220;12.02.2024;Developed prototype for upcoming product launch.;Emma Kruger;0.05235;0.05153;Drachenfels GmbH;abgerechnet;00:05
Morgenstern AG / Solar Energy;3639432;14.02.2024;Implemented user authentication system.;Anna Becker;0.03479;0.03253;Morgenstern AG;abgerechnet;00:13
Kleeblatt AG / Agriculture Innovation;5230826;14.02.2024;Added localization support for multiple languages.;Anna Becker;0.06048;0.05709;Kleeblatt AG;abgerechnet;00:48
Morgenstern AG / Eco-friendly Projects;6558059;19.02.2024;Improved security protocols to protect data.;Lea Schneider;0.05253;0.06143;Morgenstern AG;abgerechnet;00:50
Sternschuppen AG / Space Exploration;4394375;22.02.2024;Integrated third-party API for extended functionality.;Paul Bauer;0.03136;0.03541;Sternschuppen AG;abgerechnet;00:21
Wasserfall AG / Hydropower Development;9650255;12.02.2024;Developed prototype for upcoming product launch.;Felix Voigt;0.06625;0;Wasserfall AG;abgerechnet;00:28
Sonnenstrahl KG / Energy Efficiency;8169534;08.02.2024;Updated UI for a more modern look.;Niklas Hahn;0.41489;0.54485;Sonnenstrahl KG;abgerechnet;04:01
Drachenfels GmbH / Virtual Reality;7094230;15.02.2024;Added a new feature to improve user experience.;Simon Seidel;0.07756;0.08352;Drachenfels GmbH;abgerechnet;00:59
Mondschein KG / Innovation;7458580;01.02.2024;Added a new feature to improve user experience.;Olivia Berg;0.09835;0.22631;Mondschein KG;abgerechnet;02:20
Lichtblick AG / Solar Panel Tech;7547400;05.02.2024;Fixed compatibility issues with legacy systems.;Lisa Schulz;0.0342;0.02929;Lichtblick AG;abgerechnet;00:44
Nordlicht KG / Arctic Exploration;6744145;06.02.2024;Developed new analytics dashboard for insights.;Jonas Wagner;0.03078;0.02768;Nordlicht KG;abgerechnet;00:17
Himmelsstürmer KG / Pilot Programs;3912021;14.02.2024;Developed new analytics dashboard for insights.;Paul Bauer;0.31485;0.32446;Himmelsstürmer KG;abgerechnet;02:46
Lichtblick AG / Environmental Impact;6386178;07.02.2024;Improved error handling and logging mechanisms.;Olivia Berg;0.18581;0;Lichtblick AG;abgerechnet;00:04
Weitblick KG / Long-Term Investments;3435062;29.02.2024;Improved security protocols to protect data.;Julia Weber;0.09367;0.0909;Weitblick KG;abgerechnet;00:45
Wolkenbruch AG / Cloud Computing;1631632;21.02.2024;Updated UI for a more modern look.;Emma Kruger;0.87995;1.02172;Wolkenbruch AG;abgerechnet;08:19
Sternschuppen AG / Space Exploration;6607122;05.02.2024;Fixed compatibility issues with legacy systems.;Julia Weber;0.02858;0.02945;Sternschuppen AG;abgerechnet;00:20
Fels & Stein GmbH / Mineral Extraction;6729762;12.02.2024;Added a new feature to improve user experience.;Laura Schwarz;0.03612;0;Fels & Stein GmbH;abgerechnet;00:06
Kleeblatt AG / Sustainability;5128296;13.02.2024;Added localization support for multiple languages.;Noah Schmid;0.14072;0;Kleeblatt AG;abgerechnet;00:26
Adlerflug GmbH / Flight Dynamics;7337043;28.02.2024;Enhanced mobile responsiveness of the website.;Max Mueller;0.03503;0.06719;Adlerflug GmbH;abgerechnet;00:01
Mondschein KG / Optical Engineering;5800856;23.02.2024;Automated deployment processes for CI/CD pipeline.;Lena Krause;0.29389;0.82163;Mondschein KG;abgerechnet;05:01
Nordlicht KG / Climate Research;7008502;07.02.2024;Developed prototype for upcoming product launch.;Julia Weber;0.03344;0.02497;Nordlicht KG;abgerechnet;00:34
Adlerflug GmbH / Aviation Safety;5311816;08.02.2024;Developed new analytics dashboard for insights.;Lea Schneider;0.02847;0.0354;Adlerflug GmbH;abgerechnet;00:06
Kieselstein GmbH / Construction Innovation;4349887;12.02.2024;Added a new feature to improve user experience.;Hannah Boehm;0.06709;0.06518;Kieselstein GmbH;abgerechnet;00:28
Mondschein KG / Night Vision Tech;8287853;14.02.2024;Developed new analytics dashboard for insights.;Finn Lehmann;0.06519;0.06323;Mondschein KG;abgerechnet;00:00
Sonnenstrahl KG / Lighting Design;3611872;29.02.2024;Implemented caching mechanism for efficiency.;Olivia Berg;0.03433;0.03609;Sonnenstrahl KG;abgerechnet;00:33
Nordlicht KG / Climate Research;3296497;16.02.2024;Enhanced search functionality with advanced filters.;Lukas Fischer;0.05063;0.07085;Nordlicht KG;abgerechnet;00:47
Weitblick KG / Retirement Planning;4585971;27.02.2024;Upgraded server infrastructure for scalability.;Niklas Hahn;0.15259;0;Weitblick KG;abgerechnet;00:00
Kieselstein GmbH / Construction Innovation;8132880;19.02.2024;Improved security protocols to protect data.;Lukas Fischer;0.07409;0;Kieselstein GmbH;abgerechnet;00:27
Fels & Stein GmbH / Mineral Extraction;5679709;29.02.2024;Integrated third-party API for extended functionality.;Lara Zimmer;0.17877;0.33391;Fels & Stein GmbH;abgerechnet;02:25
Blitz & Co KG / Lightning Protection;6426279;29.02.2024;Fixed compatibility issues with legacy systems.;Emma Kruger;0.21683;0.62675;Blitz & Co KG;abgerechnet;03:55
Fels & Stein GmbH / Mineral Extraction;9856809;08.02.2024;Added localization support for multiple languages.;Max Mueller;0.03147;0;Fels & Stein GmbH;abgerechnet;00:14
Mondschein KG / Night Vision Tech;4890043;07.02.2024;Integrated third-party API for extended functionality.;Emma Hoffmann;0.09725;0.09922;Mondschein KG;abgerechnet;00:20
Adlerflug GmbH / Flight Dynamics;1190911;24.02.2024;Integrated third-party API for extended functionality.;Liam Scholz;0.2921;0.29169;Adlerflug GmbH;abgerechnet;02:26
Adlerflug GmbH / Aviation Safety;4232861;29.02.2024;Added a new feature to improve user experience.;David Meier;0.13843;0.10948;Adlerflug GmbH;abgerechnet;01:02
Kleeblatt AG / Agriculture Innovation;2841070;13.02.2024;Enhanced search functionality with advanced filters.;Noah Schmid;0.037;0;Kleeblatt AG;abgerechnet;00:13
Kieselstein GmbH / Construction Innovation;5890975;07.02.2024;Redesigned landing page for better conversion rates.;Julia Weber;0.0621;0;Kieselstein GmbH;abgerechnet;00:23
Fels & Stein GmbH / Rock Mechanics;8656769;12.02.2024;Refactored code for better maintainability.;Max Mueller;0.0333;0;Fels & Stein GmbH;abgerechnet;00:30
Sandsturm AG / Water Scarcity;5513673;01.02.2024;Added a new feature to improve user experience.;Lena Krause;0.08774;0.20728;Sandsturm AG;abgerechnet;02:03
Wunderbar GmbH / Marketing Overhaul;6473556;20.02.2024;Implemented user authentication system.;Niklas Hahn;0.06978;0.17709;Wunderbar GmbH;abgerechnet;01:20
Kleeblatt AG / Agriculture Innovation;8951902;05.02.2024;Added localization support for multiple languages.;Felix Voigt;0.02806;0.03001;Kleeblatt AG;abgerechnet;00:45
Kieselstein GmbH / Urban Planning;9544677;15.02.2024;Enhanced search functionality with advanced filters.;Noah Schmid;0.2549;0.2367;Kieselstein GmbH;abgerechnet;01:24
Schattenspringer AG / Entertainment Ventures;4288042;15.02.2024;Enhanced mobile responsiveness of the website.;Ben Richter;0.03044;0.054;Schattenspringer AG;abgerechnet;00:34
Bergwerk AG / Mining Expansion;6387250;21.02.2024;Automated deployment processes for CI/CD pipeline.;Clara Klein;0.23894;0.22399;Bergwerk AG;abgerechnet;01:39
Drachenfels GmbH / Virtual Reality;3077972;12.02.2024;Refactored code for better maintainability.;Hannah Boehm;0.03441;0;Drachenfels GmbH;abgerechnet;00:24
Wolfsblut GmbH / Veterinary Research;6450308;01.02.2024;Enhanced search functionality with advanced filters.;Liam Scholz;0.36729;0.46157;Wolfsblut GmbH;abgerechnet;03:42
Wasserfall AG / Hydropower Development;4779803;26.02.2024;Resolved bug in the payment module.;Laura Schwarz;0.03125;0.03722;Wasserfall AG;abgerechnet;00:04
Bergwerk AG / Safety Enhancement;8313802;13.02.2024;Added localization support for multiple languages.;Lisa Schulz;0.03516;0.03124;Bergwerk AG;abgerechnet;00:03
Wolfsblut GmbH / Veterinary Research;2036584;22.02.2024;Developed new analytics dashboard for insights.;Ben Richter;0.06155;0.12158;Wolfsblut GmbH;abgerechnet;01:21
Kieselstein GmbH / Urban Planning;6216576;06.02.2024;Implemented user authentication system.;Lara Zimmer;0.06388;0.06846;Kieselstein GmbH;abgerechnet;00:31
Himmelsstürmer KG / Pilot Programs;4617156;22.02.2024;Developed new analytics dashboard for insights.;Ben Richter;0.08729;0.08494;Himmelsstürmer KG;abgerechnet;00:47
Weitblick KG / Retirement Planning;4661638;12.02.2024;Added a new feature to improve user experience.;Anna Becker;0.05909;0.06904;Weitblick KG;abgerechnet;00:12
Wasserfall AG / Water Conservation;1520420;07.02.2024;Added a new feature to improve user experience.;Clara Klein;0.05026;0.0698;Wasserfall AG;abgerechnet;00:34
Lichtblick AG / Solar Panel Tech;8881858;29.02.2024;Redesigned landing page for better conversion rates.;Lara Zimmer;0.06241;0.05819;Lichtblick AG;abgerechnet;00:19
Schattenspringer AG / Entertainment Ventures;1760178;02.02.2024;Implemented user authentication system.;Olivia Berg;0.02504;0.03519;Schattenspringer AG;abgerechnet;00:09
Wasserfall AG / Hydropower Development;6070050;19.02.2024;Upgraded server infrastructure for scalability.;Anna Becker;0.03229;0.05506;Wasserfall AG;abgerechnet;00:41
Silberfuchs GmbH / AI Implementation;6967067;27.02.2024;Enhanced search functionality with advanced filters.;Emma Kruger;0.03197;0.02832;Silberfuchs GmbH;abgerechnet;00:34
Silberfuchs GmbH / Technology R&D;1797254;23.02.2024;Resolved bug in the payment module.;Tim Neumann;0.30181;0.54088;Silberfuchs GmbH;abgerechnet;05:18
Wolfsblut GmbH / Zoology;7498700;29.02.2024;Enhanced search functionality with advanced filters.;Ben Richter;0.05216;0.06007;Wolfsblut GmbH;abgerechnet;00:48
Sandsturm AG / Desert Farming;8920805;14.02.2024;Improved error handling and logging mechanisms.;David Meier;0.74865;0.61965;Sandsturm AG;abgerechnet;05:14
Kleeblatt AG / Sustainability;7923702;15.02.2024;Implemented caching mechanism for efficiency.;Lea Schneider;0.10325;0.09451;Kleeblatt AG;abgerechnet;00:20
Feuersturm GmbH / Equipment Design;1398679;13.02.2024;Improved security protocols to protect data.;Clara Klein;0.02701;0;Feuersturm GmbH;abgerechnet;00:25
Sonnenstrahl KG / Energy Efficiency;6459630;26.02.2024;Automated deployment processes for CI/CD pipeline.;Liam Scholz;0.03282;0.06235;Sonnenstrahl KG;abgerechnet;00:32
Kleeblatt AG / Sustainability;1173290;15.02.2024;Improved error handling and logging mechanisms.;Tim Neumann;0.15982;0.14767;Kleeblatt AG;abgerechnet;00:54
Himmelsstürmer KG / Aviation Training;1798593;02.02.2024;Added localization support for multiple languages.;Lukas Fischer;0.3103;0.41561;Himmelsstürmer KG;abgerechnet;02:43
Blitz & Co KG / Lightning Protection;1100327;07.02.2024;Developed new analytics dashboard for insights.;Noah Schmid;0.0333;0;Blitz & Co KG;abgerechnet;00:02
Nordlicht KG / Renewable Energy;3823893;05.02.2024;Redesigned landing page for better conversion rates.;Tim Neumann;0.32294;0.76961;Nordlicht KG;abgerechnet;06:36
Bergwerk AG / Safety Enhancement;3856049;19.02.2024;Improved error handling and logging mechanisms.;Lena Krause;0.02889;0.06134;Bergwerk AG;abgerechnet;00:02
Wildfang AG / Adventure Gear;5504544;27.02.2024;Enhanced search functionality with advanced filters.;Tim Neumann;0.08925;0;Wildfang AG;abgerechnet;00:24
Mondschein KG / Night Vision Tech;6902572;01.02.2024;Developed prototype for upcoming product launch.;Lisa Schulz;0.36401;0.8751;Mondschein KG;abgerechnet;05:46
Nordlicht KG / Climate Research;3043742;19.02.2024;Redesigned landing page for better conversion rates.;Jan Kohler;0.15992;0.1915;Nordlicht KG;abgerechnet;01:30
Bergwerk AG / Mining Expansion;9783835;21.02.2024;Fixed compatibility issues with legacy systems.;Jonas Wagner;0.03005;0.02882;Bergwerk AG;abgerechnet;00:00
Eisberg GmbH / Supply Chain;2951041;08.02.2024;Improved error handling and logging mechanisms.;Sara Brandt;0.07041;0;Eisberg GmbH;abgerechnet;00:13
Wolkenbruch AG / Data Security;8408356;21.02.2024;Implemented user authentication system.;Sara Brandt;0.13638;0.17686;Wolkenbruch AG;abgerechnet;00:57
Wunderbar GmbH / Customer Engagement;6134691;12.02.2024;Integrated third-party API for extended functionality.;Paul Bauer;0.14131;0;Wunderbar GmbH;abgerechnet;00:21
Wunderbar GmbH / Brand Innovation;8872458;07.02.2024;Improved error handling and logging mechanisms.;Emma Kruger;0.11197;0.16942;Wunderbar GmbH;abgerechnet;01:21
Lichtblick AG / Solar Panel Tech;2575930;26.02.2024;Developed prototype for upcoming product launch.;Simon Seidel;0.10849;0.27728;Lichtblick AG;abgerechnet;01:49
Morgenstern AG / Eco-friendly Projects;4388706;14.02.2024;Added a new feature to improve user experience.;David Meier;0.19495;0.19531;Morgenstern AG;abgerechnet;01:35
Adlerflug GmbH / Aviation Safety;8646950;06.02.2024;Developed prototype for upcoming product launch.;Anna Becker;0.28578;0.29542;Adlerflug GmbH;abgerechnet;01:55
Glücksklee GmbH / Pharmaceutical Development;1630831;01.02.2024;Updated UI for a more modern look.;Emma Hoffmann;0.06776;0.05272;Glücksklee GmbH;abgerechnet;00:03
Fels & Stein GmbH / Rock Mechanics;4618563;12.02.2024;Conducted performance testing and optimizations.;Sara Brandt;0.05312;0;Fels & Stein GmbH;abgerechnet;00:24
Seeblick GmbH / Eco-Tourism;7475445;13.02.2024;Conducted performance testing and optimizations.;Lukas Fischer;0.03114;0.03626;Seeblick GmbH;abgerechnet;00:23
Nordlicht KG / Renewable Energy;2155617;01.02.2024;Improved error handling and logging mechanisms.;Jan Kohler;0.05084;0.05273;Nordlicht KG;abgerechnet;00:40
Weitblick KG / Long-Term Investments;5159282;23.02.2024;Developed prototype for upcoming product launch.;Hannah Boehm;0.05746;0.06227;Weitblick KG;abgerechnet;00:16
Feuersturm GmbH / Equipment Design;9715701;02.02.2024;Implemented user authentication system.;Lukas Fischer;0.50227;0.38376;Feuersturm GmbH;abgerechnet;04:08
Blitz & Co KG / Smart Grid;5346530;09.02.2024;Implemented caching mechanism for efficiency.;Ben Richter;0.03235;0.03094;Blitz & Co KG;abgerechnet;00:10
Schattenspringer AG / Film Production;3497483;19.02.2024;Conducted performance testing and optimizations.;Olivia Berg;0.05252;0.06923;Schattenspringer AG;abgerechnet;00:37
Lichtblick AG / Solar Panel Tech;2318826;14.02.2024;Added a new feature to improve user experience.;Emma Hoffmann;0.05601;0;Lichtblick AG;abgerechnet;00:14
Feuersturm GmbH / Equipment Design;2783328;20.02.2024;Automated deployment processes for CI/CD pipeline.;Sara Brandt;0.0331;0.02721;Feuersturm GmbH;abgerechnet;00:34
Drachenfels GmbH / Storytelling;6421429;28.02.2024;Added a new feature to improve user experience.;Lisa Schulz;0.02508;0.03634;Drachenfels GmbH;abgerechnet;00:03
Kleeblatt AG / Agriculture Innovation;6008410;29.02.2024;Optimized database queries for faster load times.;Tim Neumann;0.08723;0.07669;Kleeblatt AG;abgerechnet;00:30
Silberfuchs GmbH / Cybersecurity;4798867;19.02.2024;Automated deployment processes for CI/CD pipeline.;Anna Becker;0.02785;0.06651;Silberfuchs GmbH;abgerechnet;00:42
Bergwerk AG / Sustainable Resources;4680681;02.02.2024;Integrated third-party API for extended functionality.;Emma Hoffmann;0.06688;0;Bergwerk AG;abgerechnet;00:28
Wolkenbruch AG / IT Infrastructure;5067711;15.02.2024;Enhanced search functionality with advanced filters.;Max Mueller;0.07146;0.05548;Wolkenbruch AG;abgerechnet;00:51
Wasserfall AG / Water Conservation;2884440;15.02.2024;Improved error handling and logging mechanisms.;Liam Scholz;0.10506;0.09644;Wasserfall AG;abgerechnet;00:42
Wolkenbruch AG / IT Infrastructure;7323357;15.02.2024;Resolved bug in the payment module.;Tom Braun;0.05833;0.06894;Wolkenbruch AG;abgerechnet;00:56
Wolfsblut GmbH / Veterinary Research;3359267;12.02.2024;Integrated third-party API for extended functionality.;Emma Kruger;0.05569;0.15559;Wolfsblut GmbH;abgerechnet;00:45
Morgenstern AG / Eco-friendly Projects;4871258;15.02.2024;Optimized database queries for faster load times.;Emma Kruger;0.02766;0.06434;Morgenstern AG;abgerechnet;00:37
Kieselstein GmbH / Architectural Design;3485397;19.02.2024;Added a new feature to improve user experience.;Lena Krause;0.02867;0.06599;Kieselstein GmbH;abgerechnet;00:45
Nordlicht KG / Renewable Energy;6110914;16.02.2024;Implemented user authentication system.;Finn Lehmann;0.44788;1.09387;Nordlicht KG;abgerechnet;07:38
Mondschein KG / Optical Engineering;7917680;22.02.2024;Improved error handling and logging mechanisms.;Noah Schmid;0.12546;0.13691;Mondschein KG;abgerechnet;00:33
Sonnenstrahl KG / Sustainable Solutions;4997431;27.02.2024;Optimized database queries for faster load times.;David Meier;0.07119;0.12353;Sonnenstrahl KG;abgerechnet;01:27
Adlerflug GmbH / Flight Dynamics;9895601;12.02.2024;Updated UI for a more modern look.;Felix Voigt;0.02919;0;Adlerflug GmbH;abgerechnet;00:14
Himmelsstürmer KG / Aircraft Maintenance;5540056;28.02.2024;Updated UI for a more modern look.;Anna Becker;0.11653;0.12071;Himmelsstürmer KG;abgerechnet;01:29
Sternschuppen AG / Astrophysics;4154760;01.02.2024;Enhanced search functionality with advanced filters.;Finn Lehmann;0.0712;0.13804;Sternschuppen AG;abgerechnet;00:48
Sandsturm AG / Climate Adaptation;9048103;29.02.2024;Enhanced search functionality with advanced filters.;Ben Richter;0.02552;0.06722;Sandsturm AG;abgerechnet;00:03
Wolkenbruch AG / IT Infrastructure;3876441;20.02.2024;Developed new analytics dashboard for insights.;Jan Kohler;0.02839;0.02877;Wolkenbruch AG;abgerechnet;00:14
Feuersturm GmbH / Emergency Planning;8383646;13.02.2024;Automated deployment processes for CI/CD pipeline.;Felix Voigt;0.03474;0.0332;Feuersturm GmbH;abgerechnet;00:26
Wunderbar GmbH / Customer Engagement;4758167;13.02.2024;Fixed compatibility issues with legacy systems.;Paul Bauer;0.0975;0.08626;Wunderbar GmbH;abgerechnet;00:18
Sonnenstrahl KG / Energy Efficiency;2198121;13.02.2024;Enhanced mobile responsiveness of the website.;Jan Kohler;0.09261;0.11892;Sonnenstrahl KG;abgerechnet;00:37
Morgenstern AG / Solar Energy;4746126;29.02.2024;Automated deployment processes for CI/CD pipeline.;Lisa Schulz;0.10568;0.08259;Morgenstern AG;abgerechnet;01:05
Weitblick KG / Wealth Management;6026158;16.02.2024;Fixed compatibility issues with legacy systems.;Olivia Berg;0.07593;0.26099;Weitblick KG;abgerechnet;01:58
Lichtblick AG / Solar Panel Tech;3446084;21.02.2024;Automated deployment processes for CI/CD pipeline.;Max Mueller;0.03299;0.03377;Lichtblick AG;abgerechnet;00:39
Blitz & Co KG / Lightning Protection;2270392;01.02.2024;Upgraded server infrastructure for scalability.;Niklas Hahn;0.02698;0;Blitz & Co KG;abgerechnet;00:13
Funkeln & Glanz KG / Retail Expansion;1736722;21.02.2024;Conducted performance testing and optimizations.;Sophie Schmidt;0.33313;0.2643;Funkeln & Glanz KG;abgerechnet;02:34
Wildfang AG / Outdoor Equipment;5996916;22.02.2024;Enhanced search functionality with advanced filters.;Sara Brandt;0.03486;0.03019;Wildfang AG;abgerechnet;00:44
Schattenspringer AG / Entertainment Ventures;8345987;27.02.2024;Refactored code for better maintainability.;Hannah Boehm;0.30933;0.36419;Schattenspringer AG;abgerechnet;02:10
Blitz & Co KG / Lightning Protection;2618331;02.02.2024;Redesigned landing page for better conversion rates.;Julia Weber;0.02518;0.02586;Blitz & Co KG;abgerechnet;00:00
Nordlicht KG / Renewable Energy;9223271;14.02.2024;Fixed compatibility issues with legacy systems.;Julia Weber;0.03175;0.02647;Nordlicht KG;abgerechnet;00:10
Eisberg GmbH / Supply Chain;3616209;22.02.2024;Added localization support for multiple languages.;Tim Neumann;0.11393;0.13954;Eisberg GmbH;abgerechnet;01:04
Sternschuppen AG / Satellite Technology;7194912;27.02.2024;Developed new analytics dashboard for insights.;Julia Weber;0.07111;0.06333;Sternschuppen AG;abgerechnet;00:17
Eisberg GmbH / Cold Chain Solutions;3972485;13.02.2024;Developed prototype for upcoming product launch.;Max Mueller;0.05516;0.1306;Eisberg GmbH;abgerechnet;00:50
Wolfsblut GmbH / Veterinary Research;7494180;29.02.2024;Implemented user authentication system.;David Meier;0.0522;0.05342;Wolfsblut GmbH;abgerechnet;00:57
Funkeln & Glanz KG / Retail Expansion;1016036;05.02.2024;Added a new feature to improve user experience.;Lea Schneider;0.1914;0.24818;Funkeln & Glanz KG;abgerechnet;01:46
Funkeln & Glanz KG / Retail Expansion;9681785;28.02.2024;Upgraded server infrastructure for scalability.;Finn Lehmann;0.03159;0.05505;Funkeln & Glanz KG;abgerechnet;00:09
Hinterland GmbH / Rural Development;8645742;16.02.2024;Developed prototype for upcoming product launch.;Max Mueller;0.31515;0.25858;Hinterland GmbH;abgerechnet;01:59
Wasserfall AG / Eco-friendly Solutions;6286184;01.02.2024;Improved error handling and logging mechanisms.;Hannah Boehm;0.02771;0;Wasserfall AG;abgerechnet;00:12
Wildfang AG / Outdoor Equipment;5940287;20.02.2024;Developed new analytics dashboard for insights.;Laura Schwarz;0.02912;0.036;Wildfang AG;abgerechnet;00:38
Glücksklee GmbH / Pharmaceutical Development;9255660;05.02.2024;Automated deployment processes for CI/CD pipeline.;Julia Weber;0.21197;0.20889;Glücksklee GmbH;abgerechnet;01:39
Sonnenstrahl KG / Energy Efficiency;6310449;05.02.2024;Enhanced mobile responsiveness of the website.;Lea Schneider;0.1053;0.14899;Sonnenstrahl KG;abgerechnet;01:21
Glücksklee GmbH / Health Solutions;1320585;29.02.2024;Updated UI for a more modern look.;Finn Lehmann;0.07693;0.11081;Glücksklee GmbH;abgerechnet;01:13
Mondschein KG / Night Vision Tech;8140167;06.02.2024;Enhanced mobile responsiveness of the website.;Sophie Schmidt;0.03425;0;Mondschein KG;abgerechnet;00:18
Glücksklee GmbH / Biotech Research;2620826;20.02.2024;Added a new feature to improve user experience.;Clara Klein;0.03631;0.03481;Glücksklee GmbH;abgerechnet;00:12
Fels & Stein GmbH / Rock Mechanics;5557164;19.02.2024;Conducted performance testing and optimizations.;David Meier;0.03101;0.0266;Fels & Stein GmbH;abgerechnet;00:30
Wunderbar GmbH / Customer Engagement;2906534;14.02.2024;Improved error handling and logging mechanisms.;Mia Koch;0.03525;0.03405;Wunderbar GmbH;abgerechnet;00:26
Sonnenstrahl KG / Energy Efficiency;2515784;26.02.2024;Refactored code for better maintainability.;Sara Brandt;0.19712;0.17682;Sonnenstrahl KG;abgerechnet;01:22
Weitblick KG / Retirement Planning;9967051;14.02.2024;Implemented caching mechanism for efficiency.;Jan Kohler;0.02694;0.02722;Weitblick KG;abgerechnet;00:17
Wasserfall AG / Hydropower Development;2220642;13.02.2024;Implemented caching mechanism for efficiency.;Max Mueller;0.06569;0.14567;Wasserfall AG;abgerechnet;00:52
Kleeblatt AG / Crop Management;1551096;08.02.2024;Optimized database queries for faster load times.;Jonas Wagner;0.02676;0.02507;Kleeblatt AG;abgerechnet;00:35
Glücksklee GmbH / Pharmaceutical Development;4651556;05.02.2024;Redesigned landing page for better conversion rates.;Finn Lehmann;0.32227;0.7212;Glücksklee GmbH;abgerechnet;06:21
Wolfsblut GmbH / Wildlife Conservation;2932994;20.02.2024;Improved security protocols to protect data.;Lara Zimmer;0.03523;0.02965;Wolfsblut GmbH;abgerechnet;00:19
Feuersturm GmbH / Equipment Design;9595977;15.02.2024;Developed prototype for upcoming product launch.;Lukas Fischer;0.08582;0.1133;Feuersturm GmbH;abgerechnet;01:21
Sonnenstrahl KG / Sustainable Solutions;8841314;20.02.2024;Developed new analytics dashboard for insights.;Anna Becker;0.06566;0.05827;Sonnenstrahl KG;abgerechnet;00:49
Morgenstern AG / Eco-friendly Projects;3248440;05.02.2024;Improved error handling and logging mechanisms.;Noah Schmid;0.36825;0.33129;Morgenstern AG;abgerechnet;02:43
Fels & Stein GmbH / Geological Surveys;8938127;09.02.2024;Optimized database queries for faster load times.;Lisa Schulz;0.03589;0.03427;Fels & Stein GmbH;abgerechnet;00:03
Glücksklee GmbH / Biotech Research;4560918;09.02.2024;Updated UI for a more modern look.;Niklas Hahn;0.03576;0.03007;Glücksklee GmbH;abgerechnet;00:17
Wolkenbruch AG / Data Security;7217378;19.02.2024;Added localization support for multiple languages.;David Meier;0.22708;0.21423;Wolkenbruch AG;abgerechnet;02:12
Wolfsblut GmbH / Wildlife Conservation;5313510;07.02.2024;Enhanced search functionality with advanced filters.;Simon Seidel;0.02503;0.03207;Wolfsblut GmbH;abgerechnet;00:34
Silberfuchs GmbH / AI Implementation;8238975;21.02.2024;Enhanced search functionality with advanced filters.;Simon Seidel;0.03201;0.03396;Silberfuchs GmbH;abgerechnet;00:12
Wildfang AG / Outdoor Equipment;9100181;05.02.2024;Implemented user authentication system.;Jan Kohler;0.25425;0.22663;Wildfang AG;abgerechnet;01:33
Eisberg GmbH / Logistics Optimization;7424883;02.02.2024;Conducted performance testing and optimizations.;Lea Schneider;0.03404;0.03101;Eisberg GmbH;abgerechnet;00:08
Sternschuppen AG / Satellite Technology;7880188;14.02.2024;Implemented caching mechanism for efficiency.;Sara Brandt;0.07061;0;Sternschuppen AG;abgerechnet;00:15
Bergwerk AG / Sustainable Resources;3421806;29.02.2024;Implemented caching mechanism for efficiency.;Lara Zimmer;0.03407;0.03641;Bergwerk AG;abgerechnet;00:06
Morgenstern AG / Solar Energy;4989410;14.02.2024;Added a new feature to improve user experience.;Emma Kruger;0.08805;0.10232;Morgenstern AG;abgerechnet;01:03
